(1,17,3), (1,13,1)	6
(3,15,3), (3,38,3)	9
(1,10,1), (1,16,1)	19
(1,42,1), (1,39,1)	4
(1,34,1), (43,16,1)	8
(43,185,43)	6
(1,85,1), (1,8,3)	2
(1,70,1), (1,30,1)	3
(3,21,3)	96
(3,54,3)	3
(1,145,1), (1,61,1)	9
(1,33,3), (3,33,3)	8
(3,5,1), (1,85,1)	2
(3,1,3), (3,33,3)	13
(1,20,1), (1,113,1)	22
(1,23,1), (1,67,1)	15
(3,30,3), (3,13,3)	9
(1,1,1), (1,47,1)	18
(1,20,3), (3,13,1)	8
(1,28,3), (1,15,3)	9
(1,20,3), (1,28,3)	13
(1,5,1), (1,5,43)	7
(3,27,3), (3,1,3)	9
(1,61,3)	46
(1,49,1)	61
(3,64,3)	41
(3,20,1), (3,57,1)	6
(3,20,1), (1,17,1)	14
(1,23,1), (1,20,1)	12
(3,131,3), (3,36,3)	9
(1,20,13)	64
(1,67,1), (1,67,1)	65
(1,32,1), (1,107,1)	9
(1,85,1), (1,40,1)	6
(3,20,3), (1,26,3)	2
(1,10,1), (1,17,3)	7
(1,33,3), (1,33,3)	38
(3,85,3), (3,28,3)	9
(43,33,3)	49
(3,5,43)	32
(3,165,3)	6
(1,10,1), (1,20,3)	6
(3,23,1), (43,23,1)	6
(1,117,1), (1,27,1)	6
(3,1,3), (43,13,3)	6
(1,125,1), (1,41,1)	9
(1,42,1), (1,15,1)	3
(3,11,3), (3,15,3)	12
(43,33,3), (3,1,3)	6
(1,15,1), (1,33,1)	12
(1,18,1), (1,1,1)	23
(1,19,1), (1,1,1)	24
(3,30,3), (3,6,3)	6
(1,1,1), (1,49,1)	9
(3,40,3), (3,40,3)	25
(1,102,1), (1,52,1)	3
(43,33,1), (43,33,43)	2
(1,16,1), (43,10,1)	2
(3,20,1), (3,127,1)	6
(43,10,1), (3,112,1)	6
(1,5,1), (1,69,1)	9
(43,96,3), (43,96,3)	9
(43,13,1), (3,20,1)	8
(1,18,1)	209
(1,232,1)	6
(3,38,1), (3,26,1)	9
(1,143,1), (1,5,1)	6
(1,62,1)	6
(3,42,3), (3,1,3)	9
(1,18,1), (3,27,1)	6
(1,22,1), (1,46,1)	6
(1,15,3), (1,61,1)	6
(1,22,1), (1,21,1)	12
(1,28,1), (1,17,1)	97
(1,61,1), (1,20,1)	18
(1,16,1), (1,85,1)	3
(43,85,1)	35
(3,1,3), (3,92,3)	5
(3,34,1), (43,34,1)	6
(43,31,43), (43,1,43)	9
(1,17,1), (1,24,1)	8
(1,105,3), (1,61,1)	6
(43,92,1)	77
(1,211,1)	2
(1,39,1), (1,13,1)	6
(1,109,1), (1,1,1)	9
(3,17,1), (1,17,1)	8
(1,203,1)	9
(1,68,1), (1,63,1)	6
(1,27,1), (3,20,1)	27
(1,112,3), (3,112,3)	6
(1,11,1), (1,91,1)	6
(3,85,1), (3,22,3)	12
(3,20,1), (3,1,1)	86
(1,113,1), (1,7,1)	6
(1,13,1), (1,9,1)	6
(1,27,13), (1,49,1)	2
(3,27,3), (3,67,3)	9
(3,13,3), (3,22,3)	9
(1,70,13)	2
(1,228,1)	4
(3,15,1), (3,5,1)	25
(1,16,1), (3,1,1)	6
(1,13,1), (1,61,1)	18
(3,61,1), (3,61,1)	12
(43,24,3)	19
(1,173,1)	2
(1,3,1), (1,15,1)	6
(1,20,1), (1,112,3)	6
(1,56,1)	122
(1,38,1), (1,85,1)	6
(1,47,1), (1,49,1)	9
(3,22,3), (3,7,3)	9
(1,36,1), (1,153,1)	9
(1,22,1), (1,31,1)	46
(43,63,1)	9
(3,12,3)	6
(1,42,1), (3,42,1)	8
(1,42,1), (1,13,1)	9
(1,35,1), (1,27,1)	21
(1,28,1), (1,98,1)	9
(1,115,1)	6
(3,36,13)	8
(1,23,3), (1,1,1)	6
(13,18,13)	2
(1,1,1), (1,92,3)	6
(1,37,1), (1,37,1)	64
(1,29,1), (1,42,1)	3
(1,50,1), (1,30,1)	15
(3,107,3), (3,107,3)	10
(3,5,1)	302
(3,61,3), (3,123,3)	9
(1,8,1), (3,1,1)	6
(3,82,3), (3,21,3)	9
(3,15,1)	251
(1,14,3), (3,14,3)	4
(1,2,1), (1,43,1)	6
(1,129,1), (1,22,1)	9
(1,23,1), (1,11,1)	6
(1,52,1), (1,15,1)	9
(3,52,3), (3,10,3)	6
(1,10,1), (1,112,1)	6
(43,13,1)	154
(3,4,3), (3,4,3)	9
(1,20,3), (13,20,3)	2
(1,13,1), (1,16,1)	18
(1,20,1), (1,34,43)	4
(1,3,1), (1,3,1)	14
(1,21,1), (1,1,1)	15
(1,31,1), (1,23,1)	9
(1,37,1), (1,19,1)	9
(3,38,1), (3,38,1)	6
(1,30,1), (1,17,1)	18
(1,31,1), (1,10,1)	6
(3,8,3), (1,41,3)	6
(3,22,3), (1,22,3)	4
(3,61,3), (3,5,1)	9
(3,16,1), (3,16,1)	45
(1,31,13), (3,31,13)	10
(1,1,3), (1,33,1)	6
(3,8,3), (3,24,3)	18
(1,27,1), (1,31,1)	21
(43,5,43), (43,34,43)	9
(3,50,3), (3,65,3)	12
(1,81,1), (1,42,3)	6
(3,19,1), (3,19,1)	9
(1,22,1), (1,107,1)	9
(1,23,1), (3,13,1)	2
(3,27,1), (3,17,3)	6
(1,18,1), (1,9,1)	9
(3,18,3), (43,18,3)	6
(3,52,1)	54
(1,85,1), (1,8,1)	8
(1,34,1)	292
(1,2,3), (3,2,3)	8
(1,8,1), (1,107,1)	18
(1,88,1), (1,30,1)	6
(3,1,1), (43,17,1)	4
(1,26,1), (1,42,1)	9
(3,20,3), (3,28,3)	18
(43,92,1), (43,92,43)	4
(1,76,1)	24
(1,51,3)	6
(1,112,1), (1,16,1)	12
(3,109,3)	4
(43,35,3)	10
(43,31,3), (43,31,1)	4
(3,18,3), (3,11,3)	9
(3,15,3), (3,2,3)	9
(1,11,1), (1,29,1)	12
(43,18,3)	31
(1,1,1), (1,51,1)	6
(1,16,1), (1,22,1)	51
(1,16,1), (1,20,43)	6
(1,67,1), (1,1,1)	41
(1,13,3), (1,1,3)	17
(1,5,1), (1,41,1)	6
(1,10,1), (1,11,1)	36
(1,58,1), (1,21,1)	12
(1,31,1), (1,8,1)	21
(13,20,3)	18
(1,49,1), (1,5,1)	9
(1,11,1), (1,156,1)	15
(3,8,1), (1,16,1)	4
(1,57,1), (1,27,1)	8
(3,28,1), (3,35,1)	6
(1,31,1), (1,52,1)	9
