(1,5,1)	[('40', '51'), ('41', '107'), ('42', '142'), ('43', '147'), ('44', '124'), ('45', '145')]
(3,13,1)	[('40', '31'), ('41', '54'), ('42', '75'), ('43', '78'), ('44', '78'), ('45', '61')]
(3,16,3)	[('40', '25'), ('41', '55'), ('42', '71'), ('43', '66'), ('44', '64'), ('45', '66')]
(3,13,3)	[('40', '38'), ('41', '64'), ('42', '90'), ('43', '68'), ('44', '70'), ('45', '62')]
(3,20,1), (3,20,3)	[('41', '42'), ('42', '74'), ('43', '67'), ('44', '69'), ('45', '77')]
(3,5,3)	[('40', '29'), ('41', '43'), ('42', '75'), ('43', '73'), ('44', '78'), ('45', '65')]
(1,20,1)	[('40', '56'), ('41', '107'), ('42', '152'), ('43', '159'), ('44', '183'), ('45', '188')]
(1,22,1)	[('40', '32'), ('41', '63'), ('42', '84'), ('43', '85'), ('44', '67'), ('45', '82')]
(1,17,1)	[('40', '41'), ('41', '62'), ('42', '88'), ('43', '80'), ('44', '88'), ('45', '91')]
(3,11,3)	[('40', '39'), ('41', '57'), ('42', '95'), ('43', '87'), ('44', '97'), ('45', '68')]
(1,1,3)	[('40', '45'), ('41', '73'), ('42', '101'), ('43', '92'), ('44', '91'), ('45', '92')]
(1,31,1)	[('40', '28'), ('41', '47'), ('42', '64'), ('43', '67'), ('44', '69'), ('45', '56')]
(1,1,1)	[('40', '90'), ('41', '152'), ('42', '230'), ('43', '268'), ('44', '281'), ('45', '271')]
(1,8,1)	[('40', '45'), ('41', '76'), ('42', '97'), ('43', '87'), ('44', '93'), ('45', '84')]
(3,20,3)	[('40', '108'), ('41', '205'), ('42', '273'), ('43', '261'), ('44', '257'), ('45', '271')]
(3,20,1)	[('40', '61'), ('41', '100'), ('42', '137'), ('43', '127'), ('44', '126'), ('45', '115')]
(3,1,1)	[('40', '62'), ('41', '105'), ('42', '153'), ('43', '145'), ('44', '143'), ('45', '132')]
(1,28,1)	[('40', '53'), ('41', '97'), ('42', '121'), ('43', '120'), ('44', '111'), ('45', '110')]
(3,1,3), (3,1,3)	[('41', '47'), ('42', '81'), ('43', '55'), ('44', '57'), ('45', '73')]
(3,1,3)	[('40', '101'), ('41', '175'), ('42', '232'), ('43', '229'), ('44', '238'), ('45', '232')]
(43,16,1)	[('40', '28'), ('41', '54'), ('42', '75'), ('43', '80'), ('44', '78'), ('45', '70')]
(3,8,1)	[('40', '31'), ('41', '54'), ('42', '79'), ('43', '68'), ('44', '65'), ('45', '59')]
(3,85,3)	[('40', '20'), ('41', '45'), ('42', '60'), ('43', '70'), ('44', '72'), ('45', '88')]
(3,8,3)	[('40', '57'), ('41', '90'), ('42', '135'), ('43', '124'), ('44', '115'), ('45', '99')]
(1,11,1)	[('40', '54'), ('41', '99'), ('42', '131'), ('43', '125'), ('44', '113'), ('45', '115')]
(1,7,1)	[('40', '23'), ('41', '46'), ('42', '65'), ('43', '62'), ('44', '65'), ('45', '69')]
(1,16,1)	[('40', '38'), ('41', '53'), ('42', '84'), ('43', '78'), ('44', '104'), ('45', '96')]
(3,31,3)	[('40', '22'), ('41', '50'), ('42', '75'), ('43', '74'), ('44', '64'), ('45', '57')]
(3,15,3)	[('40', '41'), ('41', '62'), ('42', '83'), ('43', '66'), ('44', '72'), ('45', '76')]
(1,10,1)	[('40', '33'), ('41', '72'), ('42', '92'), ('43', '106'), ('44', '107'), ('45', '106')]
(1,15,1)	[('40', '30'), ('41', '63'), ('42', '92'), ('43', '95'), ('44', '88'), ('45', '83')]
(3,17,3)	[('40', '28'), ('41', '49'), ('42', '66'), ('43', '66'), ('44', '67'), ('45', '55')]
(1,1,1), (1,1,1)	[('41', '39'), ('42', '62'), ('43', '80'), ('44', '110'), ('45', '102')]
(3,20,3), (3,20,3)	[('41', '62'), ('42', '116'), ('43', '107'), ('44', '102'), ('45', '131')]
(3,28,3)	[('40', '40'), ('41', '74'), ('42', '96'), ('43', '105'), ('44', '102'), ('45', '108')]
(3,20,3), (3,20,1)	[('41', '35'), ('42', '57'), ('43', '44'), ('44', '55'), ('45', '71')]
(1,23,1)	[('40', '27'), ('41', '63'), ('42', '81'), ('43', '83'), ('44', '67'), ('45', '82')]
(1,20,1), (1,20,1)	[('41', '30'), ('42', '58'), ('43', '47'), ('44', '58'), ('45', '90')]
(1,13,1)	[('40', '53'), ('41', '126'), ('42', '150'), ('43', '127'), ('44', '106'), ('45', '109')]
(1,27,1)	[('40', '40'), ('41', '74'), ('42', '89'), ('43', '86'), ('44', '88'), ('45', '109')]
